id,mRNA_NT_1,mRNA_NT_2,mRNA_AA_1,mRNA_AA_2
Luc7l2,5596,5944,4814,8227
Pglyrp3,3794,5061,3293,6253
Pigl,2845,3008,4577,4702
Prorp,536,419,555,1004
Utrn,510,422,425,705
Tbc1d30,482,563,565,1144
Marchf6,374,224,356,564
Aox1,355,381,613,681
Golga1,337,244,472,638
Arhgap29,327,277,307,666
Utp14b,268,234,484,527
Fn1,261,56,120,229
Dmrt2,239,213,225,413
Zfp831,218,255,307,347
Slc6a15,212,100,254,353
Xylb,196,69,55,152
Pcdh15,189,161,210,394
Nexmif,171,246,446,472
Ahnak,167,40,59,134
Srp68,161,142,191,218
Fbxl14,147,118,226,157
Col1a1,153,49,43,142
Casp1,136,123,214,308
Edem3,127,89,259,210
Hsp90ab1,116,9,32,58
Col1a2,110,21,27,68
Grb2,105,109,142,170
Mmab,102,38,143,131
Rbm15b,102,66,105,162
Eef1a1,120,26,43,75
Pcdh11x,101,186,175,233
Hspa8,90,11,15,38
Lrr1,85,8,36,69
Actb,119,38,22,65
Myh9,93,14,36,68
Smarca5,83,85,134,148
Or2ag16,84,86,100,141
Eef2,106,26,59,108
Flna,78,11,29,51
Fgf11,71,53,79,93
Plec,70,14,11,37
Pcnx1,70,60,253,95
Adam9,67,59,81,86
Srrm2,66,20,46,40
Gpx2,62,28,55,112
Slc35b2,60,6,17,40
Col5a2,64,14,34,73
Actg1,77,22,17,55
Ncl,59,17,11,22
Flnb,61,7,31,58
Ptk2,56,9,20,23
Nbeal2,55,34,25,63
Eif4g1,57,5,8,28
Srpk3,53,26,37,78
Cubn,53,72,48,94
Golgb1,53,32,49,89
Rplp0,53,11,19,51
Sptan1,51,9,16,24
Flnc,56,11,11,49
Ezr,51,8,9,23
Nhs,48,7,16,32
Tln1,49,12,17,23
Mrpl13,47,62,127,94
Tdp1,46,20,31,56
mt-Co1,46,18,32,36
Rps2,45,8,19,38
Ddb1,49,10,11,27
Sox11,44,52,49,96
Rrbp1,48,10,6,12
Fam186a,43,3,8,25
Nav3,43,30,85,40
Hspa5,46,7,8,24
Rpsa,44,10,11,46
Eif4a1,48,15,15,24
Hspg2,44,5,31,33
Col4a1,44,8,12,24
Atp6-ps,40,12,14,20
Ccn6,38,34,38,51
Sparc,67,6,13,46
Anxa10,37,58,84,102
